그림 번호,파일명,캡션,수록 장
그림 9.3,그림9.3.png,gh 버전 확인,09장_GitHub_CLI로_깃허브_연결.docx
그림 9.4,그림9.4.png,gh auth login 질문 4단계,09장_GitHub_CLI로_깃허브_연결.docx
그림 9.5,그림9.5.png,일회용 코드 발급,09장_GitHub_CLI로_깃허브_연결.docx
그림 9.6,그림9.6.jpg,브라우저의 Device Activation 화면,09장_GitHub_CLI로_깃허브_연결.docx
그림 9.7,그림9.7.png,"인증 완료, Logged in as",09장_GitHub_CLI로_깃허브_연결.docx
그림 9.8,그림9.8.png,깃허브에 올라간 첫 저장소 (구성 예시),09장_GitHub_CLI로_깃허브_연결.docx
그림 10.1,그림10.1.png,에이전트 한 명 vs 여러 명 지휘,10장_Orca로_에이전트_지휘하기.docx
그림 10.2,그림10.2.png,워크트리 개념도,10장_Orca로_에이전트_지휘하기.docx
그림 10.3,그림10.3.png,Orca 첫 실행 화면 (구성 예시),10장_Orca로_에이전트_지휘하기.docx
그림 10.4,그림10.4.png,워크트리 터미널에서 실행한 Claude Code (구성 예시),10장_Orca로_에이전트_지휘하기.docx
그림 10.5,그림10.5.png,카드 세 장이 동시에 굴러가는 모습 (구성 예시),10장_Orca로_에이전트_지휘하기.docx
그림 10.6,그림10.6.png,저자의 작업 화면 배치도,10장_Orca로_에이전트_지휘하기.docx
그림 11.1,그림11.1.jpg,카카오 디벨로퍼스 첫 화면,11장_카카오_개발자_계정과_앱_만들기.docx
그림 11.2,그림11.2.png,"개발자 콘솔의 전체 앱 목록과 ""앱 생성"" 버튼",11장_카카오_개발자_계정과_앱_만들기.docx
그림 11.3,그림11.3.jpg,앱 생성 창에 앱 이름 입력,11장_카카오_개발자_계정과_앱_만들기.docx
그림 11.4,그림11.4.jpg,앱 > 플랫폼 키 화면의 키 3종 (JavaScript 키에 강조 표시),11장_카카오_개발자_계정과_앱_만들기.docx
그림 11.5,그림11.5.jpg,JavaScript 키 수정 화면의 JavaScript SDK 도메인 항목,11장_카카오_개발자_계정과_앱_만들기.docx
그림 11.6,그림11.6.jpg,JavaScript SDK 도메인에 http://localhost:5173 이 등록된 모습,11장_카카오_개발자_계정과_앱_만들기.docx
그림 12.1,그림12.1.png,Claude Code가 npm create vite로 프로젝트를 생성하는 모습,12장_Vite로_프로젝트_시작.docx
그림 12.2,그림12.2.png,생성된 my-map 프로젝트의 폴더 구조,12장_Vite로_프로젝트_시작.docx
그림 12.3,그림12.3.png,npm run dev 실행 후 개발 서버가 켜진 터미널,12장_Vite로_프로젝트_시작.docx
그림 12.4,그림12.4.jpg,브라우저에서 확인한 Vite 환영 페이지,12장_Vite로_프로젝트_시작.docx
그림 12.5,그림12.5.png,.env 파일에 VITE_KAKAO_JS_KEY를 넣은 모습,12장_Vite로_프로젝트_시작.docx
그림 12.6,그림12.6.png,브라우저 콘솔에서 키 로드 확인,12장_Vite로_프로젝트_시작.docx
그림 13.1,그림13.1.png,SDK를 불러오는 두 가지 방법,13장_첫_지도_띄우기.docx
그림 13.2,그림13.2.png,autoload=false일 때 SDK가 준비되는 순서,13장_첫_지도_띄우기.docx
그림 13.3,그림13.3.png,위도와 경도: 숫자 두 개로 지구 위 한 점 찍기,13장_첫_지도_띄우기.docx
그림 13.4,그림13.4.jpg,첫 지도! 서울시청을 중심으로 화면 가득 뜬 카카오지도,13장_첫_지도_띄우기.docx
그림 13.5,그림13.5.png,도메인 미등록 시 콘솔에 찍히는 403 에러,13장_첫_지도_띄우기.docx
그림 13.6,그림13.6.jpg,카카오 콘솔의 JavaScript SDK 도메인 등록 재확인,13장_첫_지도_띄우기.docx
그림 14.1,그림14.1.jpg,콘솔에서 __map.setLevel(3)을 실행해 확대된 지도,14장_지도_다루기.docx
그림 14.2,그림14.2.png,"setCenter는 순간이동, panTo는 미끄러지는 이동",14장_지도_다루기.docx
그림 14.3,그림14.3.jpg,"같은 위치, 다른 레벨: 레벨 3(왼쪽)과 레벨 7(오른쪽)",14장_지도_다루기.docx
그림 14.4,그림14.4.jpg,"컨트롤이 달린 지도: 오른쪽 위 지도 타입 버튼, 오른쪽 줌 버튼",14장_지도_다루기.docx
그림 14.5,그림14.5.jpg,스카이뷰로 전환한 지도,14장_지도_다루기.docx
그림 14.6,그림14.6.jpg,지도를 클릭할 때마다 콘솔에 찍히는 좌표,14장_지도_다루기.docx
그림 15.1,그림15.1.jpg,서울 시청 위에 찍힌 첫 마커,15장_마커_찍기.docx
그림 15.2,그림15.2.jpg,반복문으로 찍은 마커 4개,15장_마커_찍기.docx
그림 15.3,그림15.3.png,offset 기준점의 의미,15장_마커_찍기.docx
그림 15.4,그림15.4.png,MarkerImage로 옷을 갈아입은 마커,15장_마커_찍기.docx
그림 15.5,그림15.5.jpg,markerImageFor로 만든 카테고리별 커스텀 핀 4종,15장_마커_찍기.docx
그림 15.6,그림15.6.jpg,renderPlaces가 그린 나만의 장소 지도,15장_마커_찍기.docx
그림 16.1,그림16.1.jpg,데이터와 화면의 분리,16장_장소_데이터_설계.docx
그림 16.2,그림16.2.png,Claude Code가 defaultPlaces.js를 생성한 모습,16장_장소_데이터_설계.docx
그림 16.3,그림16.3.png,categories.js 한 곳을 여러 화면이 참조하는 구조,16장_장소_데이터_설계.docx
그림 16.4,그림16.4.jpg,DEFAULT_PLACES 다섯 곳이 카테고리 핀으로 찍힌 지도,16장_장소_데이터_설계.docx
그림 16.5,그림16.5.png,카카오맵에서 우클릭으로 지점 정보 확인,16장_장소_데이터_설계.docx
그림 16.6,그림16.6.jpg,지도 클릭으로 콘솔에 좌표 찍기,16장_장소_데이터_설계.docx
그림 17.1,그림17.1.jpg,기본 InfoWindow가 열린 모습,17장_커스텀_오버레이_말풍선.docx
그림 17.2,그림17.2.png,yAnchor 값에 따라 달라지는 말풍선 위치,17장_커스텀_오버레이_말풍선.docx
그림 17.3,그림17.3.png,말풍선의 구조 분해도,17장_커스텀_오버레이_말풍선.docx
그림 17.4,그림17.4.png,border 트릭으로 삼각형이 만들어지는 과정,17장_커스텀_오버레이_말풍선.docx
그림 17.5,그림17.5.png,"""하나만 열기"" 상태 흐름도",17장_커스텀_오버레이_말풍선.docx
그림 17.6,그림17.6.png,완성된 커스텀 말풍선,17장_커스텀_오버레이_말풍선.docx
그림 18.1,그림18.1.jpg,필터가 없을 때: 모든 카테고리 마커가 뒤섞여 표시된 지도,18장_카테고리_필터.docx
그림 18.2,그림18.2.png,단방향 데이터 흐름: 버튼 → 상태 → 필터링 → 렌더링,18장_카테고리_필터.docx
그림 18.3,그림18.3.png,"완성된 필터 바 UI (""전체""가 active 상태)",18장_카테고리_필터.docx
그림 18.4,그림18.4.jpg,☕ 카페 필터 적용: 카페 마커만 남은 지도,18장_카테고리_필터.docx
그림 18.5,그림18.5.jpg,💕 데이트 필터 적용: active 버튼과 걸러진 마커,18장_카테고리_필터.docx
그림 18.6,그림18.6.png,rerender 하나로 모이는 구조: 필터·추가·삭제 어떤 변화든 같은 길로 화면이 된다,18장_카테고리_필터.docx
그림 19.1,그림19.1.png,기본 SDK와 services 확장팩의 관계,19장_키워드_장소_검색.docx
그림 19.2,그림19.2.png,사이드바 상단에 추가된 검색창,19장_키워드_장소_검색.docx
그림 19.3,그림19.3.png,콘솔에서 keywordSearch 결과 확인,19장_키워드_장소_검색.docx
그림 19.4,그림19.4.jpg,"""성수동 카페"" 검색 결과 상위 7개",19장_키워드_장소_검색.docx
그림 19.5,그림19.5.jpg,결과 클릭 후 레벨 3으로 확대 이동한 지도,19장_키워드_장소_검색.docx
그림 19.6,그림19.6.jpg,결과가 없을 때의 토스트 알림,19장_키워드_장소_검색.docx
그림 20.1,그림20.1.png,"입구는 둘, 문은 하나: 장소 추가의 전체 흐름",20장_클릭·검색으로_장소_추가.docx
그림 20.2,그림20.2.jpg,화면 가운데에 뜬 장소 추가 다이얼로그,20장_클릭·검색으로_장소_추가.docx
그림 20.3,그림20.3.jpg,이름을 비우고 추가를 누르면 뜨는 검증 토스트,20장_클릭·검색으로_장소_추가.docx
그림 20.4,그림20.4.jpg,검색 결과마다 달린 ＋ 버튼,20장_클릭·검색으로_장소_추가.docx
그림 20.5,그림20.5.jpg,＋를 누르면 이름이 미리 채워진 다이얼로그가 열린다,20장_클릭·검색으로_장소_추가.docx
그림 20.6,그림20.6.jpg,지도 클릭으로 추가한 장소에 마커가 찍힌 모습,20장_클릭·검색으로_장소_추가.docx
그림 21.1,그림21.1.png,새로고침 전(왼쪽)과 후(오른쪽): 추가한 장소가 사라졌다,21장_localStorage_저장.docx
그림 21.2,그림21.2.png,책상(메모리)과 서랍(localStorage),21장_localStorage_저장.docx
그림 21.3,그림21.3.png,개발자도구 Application 탭에서 본 localStorage,21장_localStorage_저장.docx
그림 21.4,그림21.4.png,직렬화 왕복 파이프라인,21장_localStorage_저장.docx
그림 21.5,그림21.5.png,새로고침 후에도 살아남은 장소와 Application 탭의 저장 데이터,21장_localStorage_저장.docx
그림 21.6,그림21.6.png,내보내기로 받은 my-map-places.json 파일,21장_localStorage_저장.docx
그림 21.7,그림21.7.jpg,가져오기 성공 토스트,21장_localStorage_저장.docx
그림 22.1,그림22.1.png,"하나의 데이터, 두 개의 화면: store를 지도(renderPlaces)와 목록(renderList)이 각자 그린다",22장_사이드바_장소_목록.docx
그림 22.2,그림22.2.jpg,완성된 사이드바 장소 목록: 이모지·이름·카테고리·별점이 줄지어 표시된다,22장_사이드바_장소_목록.docx
그림 22.3,그림22.3.jpg,필터와 목록의 동기화: ☕ 카페 필터를 누르면 마커와 목록이 함께 걸러진다,22장_사이드바_장소_목록.docx
그림 22.4,그림22.4.jpg,빈 목록 안내: 텅 빈 여백 대신 상황과 다음 행동을 알려준다,22장_사이드바_장소_목록.docx
그림 22.5,그림22.5.jpg,목록 클릭 → focusPlace: 지도가 해당 장소로 이동·확대되고 말풍선이 열린 모습,22장_사이드바_장소_목록.docx
그림 22.6,그림22.6.png,"구독 패턴: 어떤 경로로 데이터가 바뀌든 save()가 방송하고, 구독자(지도·목록)가 각자 갱신한다",22장_사이드바_장소_목록.docx
그림 23.1,그림23.1.png,상세 패널의 네 덩어리 구조,23장_상세_패널.docx
그림 23.2,그림23.2.jpg,마커를 클릭하면 오른쪽 위에 열리는 상세 패널,23장_상세_패널.docx
그림 23.3,그림23.3.jpg,"별 5개를 클릭한 직후, 패널과 말풍선의 별이 함께 바뀐 모습",23장_상세_패널.docx
그림 23.4,그림23.4.png,삭제 버튼을 누르면 뜨는 confirm 다이얼로그,23장_상세_패널.docx
그림 23.5,그림23.5.png,XSS 공격의 원리: 입력이 코드가 되는 순간,23장_상세_패널.docx
그림 23.6,그림23.6.jpg,escapeHtml 덕분에 태그가 글자 그대로 표시된 상세 패널,23장_상세_패널.docx
그림 24.1,그림24.1.jpg,브라우저가 위치를 알아내는 세 가지 단서,24장_내_위치_표시.docx
그림 24.2,그림24.2.png,브라우저의 위치 권한 프롬프트,24장_내_위치_표시.docx
그림 24.3,그림24.3.png,지도 오른쪽 아래에 자리 잡은 🧭 버튼,24장_내_위치_표시.docx
그림 24.4,그림24.4.png,getCurrentPosition의 두 갈래 흐름,24장_내_위치_표시.docx
그림 24.5,그림24.5.png,내 위치에 표시된 파란 점,24장_내_위치_표시.docx
그림 24.6,그림24.6.jpg,권한 거부 시 토스트 안내,24장_내_위치_표시.docx
그림 24.7,그림24.7.png,보안 컨텍스트: 위치 API의 문지방,24장_내_위치_표시.docx
그림 25.1,그림25.1.png,URL 해부도와 해시의 특별한 성질,25장_URL로_지도_공유.docx
그림 25.2,그림25.2.jpg,공유 버튼 클릭: 주소창에 해시가 생기고 복사 토스트가 뜬 화면,25장_URL로_지도_공유.docx
그림 25.3,그림25.3.png,정규식 해부도: 패턴과 해시 문자열의 대응,25장_URL로_지도_공유.docx
그림 25.4,그림25.4.png,공유의 왕복: 인코딩(쓰기)과 파싱(읽기)의 흐름,25장_URL로_지도_공유.docx
그림 25.5,그림25.5.png,복사한 링크를 새 탭에서 연 결과: 같은 위치·같은 레벨,25장_URL로_지도_공유.docx
그림 25.6,그림25.6.png,공유되는 것과 공유되지 않는 것,25장_URL로_지도_공유.docx
그림 26.1,그림26.1.jpg,마커 100개가 뒤덮은 지도 (클러스터러 적용 전),26장_마커_클러스터러.docx
그림 26.2,그림26.2.png,클러스터링 개념도,26장_마커_클러스터러.docx
그림 26.3,그림26.3.png,콘솔에서 MarkerClusterer 로드 확인,26장_마커_클러스터러.docx
그림 26.4,그림26.4.jpg,클러스터러 적용 후: 숫자 원으로 정리된 지도,26장_마커_클러스터러.docx
그림 26.5,그림26.5.png,옵션 3형제가 각각 결정하는 것,26장_마커_클러스터러.docx
그림 26.6,그림26.6.jpg,확대하면 클러스터가 낱개 마커로 풀린다,26장_마커_클러스터러.docx
그림 27.1,그림27.1.png,크롬 개발자도구 디바이스 모드 진입(기기 툴바와 기기 선택 메뉴),27장_모바일_대응.docx
그림 27.2,그림27.2.png,모바일 대응 전: 사이드바가 화면을 잡아먹고 지도는 오른쪽 띠로 전락한 모습,27장_모바일_대응.docx
그림 27.3,그림27.3.png,미디어쿼리 개념: 같은 HTML이 화면 폭에 따라 다른 CSS 옷을 입는다,27장_모바일_대응.docx
그림 27.4,그림27.4.png,미디어쿼리 적용 후: 지도가 전체 화면을 쓰고 사이드바가 그 위에 겹친 모바일 화면,27장_모바일_대응.docx
그림 27.5,그림27.5.png,사이드바를 접은 모바일 화면: 지도가 전체를 차지하고 좌상단에 ▶ 펼치기 버튼만 남는다,27장_모바일_대응.docx
그림 27.6,그림27.6.jpg,사이드바를 접은 직후의 버그: 새로 넓어진 오른쪽 영역이 회색으로 남아 있다,27장_모바일_대응.docx
그림 27.7,그림27.7.png,"스마트폰에서 열어 본 나만의 지도 — 접속 예시 (같은 와이파이, Network 주소)",27장_모바일_대응.docx
그림 28.1,그림28.1.png,점검을 마친 .gitignore 파일,28장_GitHub에_올리기.docx
그림 28.2,그림28.2.png,커밋 전 git status 검문소,28장_GitHub에_올리기.docx
그림 28.3,그림28.3.png,첫 커밋 완료,28장_GitHub에_올리기.docx
그림 28.4,그림28.4.png,gh repo create 실행 결과,28장_GitHub에_올리기.docx
그림 28.5,그림28.5.jpg,깃허브에 올라간 my-map 저장소,28장_GitHub에_올리기.docx
그림 28.6,그림28.6.png,검수 포인트: .env와 node_modules가 없다,28장_GitHub에_올리기.docx
그림 28.7,그림28.7.png,git log --oneline으로 본 커밋 역사,28장_GitHub에_올리기.docx
그림 29.1,그림29.1.png,npm run build 실행 결과와 dist 폴더,29장_GitHub_Pages_배포.docx
그림 29.2,그림29.2.png,base 설정이 필요한 이유: 하위 경로 문제,29장_GitHub_Pages_배포.docx
그림 29.3,그림29.3.jpg,리포지토리 Secrets에 VITE_KAKAO_JS_KEY 등록,29장_GitHub_Pages_배포.docx
그림 29.4,그림29.4.jpg,Settings → Pages에서 Source를 GitHub Actions로,29장_GitHub_Pages_배포.docx
그림 29.5,그림29.5.jpg,Actions 탭: build → deploy 모두 초록 체크,29장_GitHub_Pages_배포.docx
그림 29.6,그림29.6.jpg,카카오 개발자 콘솔 JavaScript SDK 도메인에 github.io 도메인 추가,29장_GitHub_Pages_배포.docx
그림 29.7,그림29.7.jpg,배포 완료: github.io 주소에서 동작하는 내 지도,29장_GitHub_Pages_배포.docx
